Open Time,Open Time,Open Price,High Price,Low Price,Close Price,Volume,Close Time,Quote Asset Volume,Number Of Trades,Taker Buy Base,Taker Buy Quote,Unused
2023-07-03 19:00:00,2023-07-03 19:00:00,1970.51,1974.71,1964.14,1967.4,17362.4476,1688414399999,34189167.619225,18231,8088.0627,15925123.825154,0
2023-07-03 20:00:00,2023-07-03 20:00:00,1967.39,1968.0,1955.77,1958.52,12692.5914,1688417999999,24887849.861934,14815,5840.1243,11449080.986759,0
2023-07-03 21:00:00,2023-07-03 21:00:00,1958.52,1959.5,1948.22,1957.4,14353.018,1688421599999,28048894.985801,15854,6001.5811,11727706.690038,0
2023-07-03 22:00:00,2023-07-03 22:00:00,1957.41,1958.89,1952.69,1955.34,5162.156,1688425199999,10097424.459079,8690,2613.43,5112012.366681,0
2023-07-03 23:00:00,2023-07-03 23:00:00,1955.34,1955.93,1950.43,1955.54,5562.7777,1688428799999,10867477.559354,8792,2499.7342,4883454.337456,0
2023-07-04 00:00:00,2023-07-04 00:00:00,1955.55,1958.0,1950.76,1951.61,7100.4148,1688432399999,13875297.54472,10924,3540.6837,6919530.030963,0
2023-07-04 01:00:00,2023-07-04 01:00:00,1951.6,1959.35,1950.34,1954.24,12831.3138,1688435999999,25078111.87647,14734,5977.2764,11680741.763095,0
2023-07-04 02:00:00,2023-07-04 02:00:00,1954.24,1956.99,1952.81,1956.6,8490.7305,1688439599999,16599711.886554,9547,3657.0713,7149454.600587,0
2023-07-04 03:00:00,2023-07-04 03:00:00,1956.6,1967.08,1954.34,1963.34,11448.9999,1688443199999,22456029.679238,12541,6057.8332,11882901.88763,0
2023-07-04 04:00:00,2023-07-04 04:00:00,1963.34,1963.35,1948.59,1954.01,9411.3246,1688446799999,18411514.792322,14178,3302.2083,6459982.909658,0
2023-07-04 05:00:00,2023-07-04 05:00:00,1954.01,1955.0,1951.51,1952.12,6783.9414,1688450399999,13252645.029039,10629,3479.4989,6797363.647955,0
2023-07-04 06:00:00,2023-07-04 06:00:00,1952.13,1957.0,1946.39,1953.5,8987.0101,1688453999999,17545931.75695,13124,4074.5133,7956292.98343,0
2023-07-04 07:00:00,2023-07-04 07:00:00,1953.49,1954.8,1948.46,1948.8,6134.3872,1688457599999,11975633.040338,11572,2132.0235,4162736.256018,0
2023-07-04 08:00:00,2023-07-04 08:00:00,1948.81,1952.4,1948.52,1950.52,5025.8581,1688461199999,9804406.057684,10594,2103.1225,4102836.392933,0
2023-07-04 09:00:00,2023-07-04 09:00:00,1950.52,1954.87,1946.54,1954.87,8377.6299,1688464799999,16351741.392015,13345,3799.3204,7415707.000942,0
2023-07-04 10:00:00,2023-07-04 10:00:00,1954.86,1960.0,1954.01,1958.0,9334.1568,1688468399999,18264331.872097,13727,4437.5517,8683202.872345,0
2023-07-04 11:00:00,2023-07-04 11:00:00,1958.0,1961.99,1955.98,1960.53,9163.3853,1688471999999,17952841.695419,16107,4849.8407,9500514.907243,0
2023-07-04 12:00:00,2023-07-04 12:00:00,1960.53,1961.7,1954.25,1956.97,7066.0763,1688475599999,13837805.749008,12903,3183.9881,6235690.685755,0
2023-07-04 13:00:00,2023-07-04 13:00:00,1956.97,1958.71,1953.2,1956.02,6264.3404,1688479199999,12255506.259771,14126,2797.0463,5471903.236212,0
2023-07-04 14:00:00,2023-07-04 14:00:00,1956.01,1960.38,1955.01,1956.78,5195.0452,1688482799999,10171386.740961,10277,2692.099,5270857.462665,0
2023-07-04 15:00:00,2023-07-04 15:00:00,1956.77,1959.5,1950.44,1954.19,8837.6572,1688486399999,17270430.593588,13381,3421.7019,6687033.943552,0
2023-07-04 16:00:00,2023-07-04 16:00:00,1954.19,1965.57,1950.51,1955.63,14874.8473,1688489999999,29125226.116103,19115,7149.0448,14000370.992171,0
2023-07-04 17:00:00,2023-07-04 17:00:00,1955.63,1957.53,1948.0,1949.84,10546.1494,1688493599999,20591472.021218,14011,4749.7656,9274129.901384,0
2023-07-04 18:00:00,2023-07-04 18:00:00,1949.84,1953.01,1945.47,1949.39,8377.5116,1688497199999,16327683.416054,12265,3716.1309,7243655.030679,0
2023-07-04 19:00:00,2023-07-04 19:00:00,1949.39,1950.19,1931.58,1934.29,23388.9655,1688500799999,45354519.44075,26311,9986.8023,19362526.51559,0
2023-07-04 20:00:00,2023-07-04 20:00:00,1934.29,1942.19,1932.12,1942.1,6630.9169,1688504399999,12850708.215372,10176,3802.9615,7369800.912778,0
2023-07-04 21:00:00,2023-07-04 21:00:00,1942.1,1942.67,1938.29,1941.79,3359.1239,1688507999999,6519873.909525,7536,1443.971,2802586.768103,0
2023-07-04 22:00:00,2023-07-04 22:00:00,1941.79,1942.42,1938.5,1941.57,3599.175,1688511599999,6984588.062013,7395,1638.086,3178679.042068,0
2023-07-04 23:00:00,2023-07-04 23:00:00,1941.57,1941.73,1935.2,1936.2,4296.1373,1688515199999,8329600.102629,9173,1906.0009,3695568.138302,0
2023-07-05 00:00:00,2023-07-05 00:00:00,1936.19,1942.0,1934.61,1935.07,6365.4353,1688518799999,12338053.049904,11575,3149.4388,6104671.338556,0
2023-07-05 01:00:00,2023-07-05 01:00:00,1935.07,1942.12,1933.64,1938.24,5052.8069,1688522399999,9798980.875115,9566,2356.9975,4570841.782003,0
2023-07-05 02:00:00,2023-07-05 02:00:00,1938.24,1942.0,1937.6,1941.94,4237.5166,1688525999999,8223548.455991,8256,2106.394,4087694.555678,0
2023-07-05 03:00:00,2023-07-05 03:00:00,1941.94,1942.5,1938.82,1941.28,3745.2364,1688529599999,7268406.30288,8586,1453.3853,2820477.540143,0
2023-07-05 04:00:00,2023-07-05 04:00:00,1941.28,1942.0,1936.18,1936.89,6633.0314,1688533199999,12855488.000112,10661,3005.2321,5823687.645058,0
2023-07-05 05:00:00,2023-07-05 05:00:00,1936.89,1938.75,1932.15,1933.79,7854.474,1688536799999,15201684.49874,10839,4523.1291,8754178.888847,0
2023-07-05 06:00:00,2023-07-05 06:00:00,1933.79,1937.44,1933.34,1937.31,6732.453,1688540399999,13029201.008393,9955,3316.6998,6419422.547718,0
2023-07-05 07:00:00,2023-07-05 07:00:00,1937.31,1938.0,1935.41,1936.35,3592.6526,1688543999999,6959495.108935,9180,1672.5903,3240048.935452,0
2023-07-05 08:00:00,2023-07-05 08:00:00,1936.36,1937.07,1916.01,1929.49,22502.4144,1688547599999,43391818.252008,28204,9853.7279,19003207.625622,0
2023-07-05 09:00:00,2023-07-05 09:00:00,1929.48,1930.83,1921.35,1921.63,11807.7939,1688551199999,22739616.591221,15559,4697.1781,9046700.257246,0
2023-07-05 10:00:00,2023-07-05 10:00:00,1921.63,1925.56,1905.0,1910.19,37961.3745,1688554799999,72638973.951176,40502,17519.7282,33525890.184104,0
2023-07-05 11:00:00,2023-07-05 11:00:00,1910.2,1917.98,1907.41,1910.08,16771.2727,1688558399999,32076548.481872,19571,9019.8553,17249345.061752,0
2023-07-05 12:00:00,2023-07-05 12:00:00,1910.07,1913.92,1897.64,1901.39,25408.3799,1688561999999,48467057.116297,29967,10572.737,20170813.946101,0
2023-07-05 13:00:00,2023-07-05 13:00:00,1901.38,1905.95,1894.51,1903.15,22820.0069,1688565599999,43382162.306264,25832,10620.3976,20189162.359395,0
2023-07-05 14:00:00,2023-07-05 14:00:00,1903.14,1911.76,1902.16,1911.0,13081.0822,1688569199999,24952828.240652,17889,7351.9742,14022441.334862,0
2023-07-05 15:00:00,2023-07-05 15:00:00,1911.0,1911.46,1895.0,1902.96,18156.9761,1688572799999,34554931.209959,22883,7852.5559,14942293.621355,0
2023-07-05 16:00:00,2023-07-05 16:00:00,1902.97,1910.21,1901.26,1908.7,8739.5984,1688576399999,16659333.885831,13330,4661.826,8886458.216243,0
