Open Time,Open Time,Open Price,High Price,Low Price,Close Price,Volume,Close Time,Quote Asset Volume,Number Of Trades,Taker Buy Base,Taker Buy Quote,Unused
2023-07-03 19:00:00,2023-07-03 19:00:00,31199.13,31380.0,31126.0,31255.84,4081.81621,1688414399999,127621496.7248426,61310,2019.03545,63124366.7729684,0
2023-07-03 20:00:00,2023-07-03 20:00:00,31255.83,31299.16,31107.2,31121.18,2019.53291,1688417999999,63017862.6053228,32597,852.16441,26589217.1770871,0
2023-07-03 21:00:00,2023-07-03 21:00:00,31121.18,31132.0,30900.0,31050.23,2151.49223,1688421599999,66780794.3086445,40342,1001.44385,31083132.377179,0
2023-07-03 22:00:00,2023-07-03 22:00:00,31050.22,31146.43,31040.9,31120.69,832.04705,1688425199999,25878655.2705008,19411,422.65339,13143096.6284506,0
2023-07-03 23:00:00,2023-07-03 23:00:00,31120.7,31157.89,31083.91,31156.2,956.99594,1688428799999,29785211.3330637,19517,461.7773,14372071.3071874,0
2023-07-04 00:00:00,2023-07-04 00:00:00,31156.2,31187.74,31096.48,31112.86,908.49357,1688432399999,28291872.7188577,24289,395.51613,12316348.4458291,0
2023-07-04 01:00:00,2023-07-04 01:00:00,31112.86,31350.69,31108.56,31288.8,2764.37214,1688435999999,86356618.5940212,43774,1360.58808,42495822.5650863,0
2023-07-04 02:00:00,2023-07-04 02:00:00,31288.8,31325.76,31200.0,31259.77,1273.7022,1688439599999,39814060.0791505,25822,602.18512,18823508.5802271,0
2023-07-04 03:00:00,2023-07-04 03:00:00,31259.77,31263.54,31179.09,31195.69,969.0324,1688443199999,30256802.5143757,24556,367.90129,11487690.7134884,0
2023-07-04 04:00:00,2023-07-04 04:00:00,31195.68,31212.26,31000.0,31058.0,1474.18787,1688446799999,45838540.004463,37441,628.5725,19545505.2883769,0
2023-07-04 05:00:00,2023-07-04 05:00:00,31058.01,31090.9,30972.69,30972.7,1164.20649,1688450399999,36133460.0229721,30625,461.22604,14314486.8418304,0
2023-07-04 06:00:00,2023-07-04 06:00:00,30972.7,31052.91,30879.29,30999.55,2643.33718,1688453999999,81827606.3479985,45930,946.10408,29296060.1655268,0
2023-07-04 07:00:00,2023-07-04 07:00:00,30999.55,31032.35,30900.48,30911.41,942.33346,1688457599999,29186134.7703617,25771,399.92566,12386095.9923576,0
2023-07-04 08:00:00,2023-07-04 08:00:00,30911.4,30976.42,30902.01,30930.76,1073.07854,1688461199999,33202718.3740769,24215,526.19153,16280599.3996768,0
2023-07-04 09:00:00,2023-07-04 09:00:00,30930.75,31045.0,30867.68,31016.91,1326.00863,1688464799999,41073817.4251496,33720,624.77812,19351591.9846001,0
2023-07-04 10:00:00,2023-07-04 10:00:00,31016.92,31051.92,30946.0,31025.64,1016.22824,1688468399999,31513952.5751634,27279,461.77166,14319649.9019452,0
2023-07-04 11:00:00,2023-07-04 11:00:00,31025.63,31080.0,31000.73,31067.99,864.58983,1688471999999,26835153.356019,24979,390.05762,12106329.6736292,0
2023-07-04 12:00:00,2023-07-04 12:00:00,31067.99,31080.0,31014.9,31044.9,850.06645,1688475599999,26389515.3042262,24626,412.20752,12795425.9766641,0
2023-07-04 13:00:00,2023-07-04 13:00:00,31044.9,31055.43,30979.0,30999.55,1111.08203,1688479199999,34465899.646727,29030,396.3375,12294274.5601714,0
2023-07-04 14:00:00,2023-07-04 14:00:00,30999.54,31046.0,30951.54,30972.4,1154.36938,1688482799999,35786141.3401996,27921,371.26267,11509885.0762531,0
2023-07-04 15:00:00,2023-07-04 15:00:00,30972.4,31011.98,30886.0,30964.37,2002.0315,1688486399999,61958358.939625,41184,762.49164,23598167.4620642,0
2023-07-04 16:00:00,2023-07-04 16:00:00,30964.38,31130.0,30807.0,30960.29,2546.46728,1688489999999,78889397.6796828,59227,1145.78607,35498627.9785262,0
2023-07-04 17:00:00,2023-07-04 17:00:00,30960.3,30987.66,30867.5,30900.01,1653.76045,1688493599999,51138035.4945983,38341,690.71367,21357604.505356,0
2023-07-04 18:00:00,2023-07-04 18:00:00,30900.01,30934.92,30839.0,30902.0,1032.09168,1688497199999,31881860.7053411,29283,411.24125,12704077.4036928,0
2023-07-04 19:00:00,2023-07-04 19:00:00,30902.0,30913.31,30620.0,30696.84,3462.69284,1688500799999,106434586.0855287,79868,1449.83349,44556360.718827,0
2023-07-04 20:00:00,2023-07-04 20:00:00,30696.84,30808.49,30668.5,30797.13,1205.9084,1688504399999,37070992.3718517,29369,581.06359,17864008.2873966,0
2023-07-04 21:00:00,2023-07-04 21:00:00,30797.13,30822.85,30754.79,30803.72,724.61867,1688507999999,22311797.0446567,19717,257.57677,7931367.6372698,0
2023-07-04 22:00:00,2023-07-04 22:00:00,30803.72,30822.58,30766.26,30820.01,579.48355,1688511599999,17842406.1087673,16579,248.45485,7650399.0304267,0
2023-07-04 23:00:00,2023-07-04 23:00:00,30820.01,30843.73,30760.35,30766.51,463.97665,1688515199999,14294281.0207075,15926,215.57881,6642265.8949007,0
2023-07-05 00:00:00,2023-07-05 00:00:00,30766.52,30843.31,30752.0,30762.27,850.91505,1688518799999,26200662.3077913,22536,333.20178,10261134.2905198,0
2023-07-05 01:00:00,2023-07-05 01:00:00,30762.27,30842.64,30753.99,30795.93,518.71143,1688522399999,15982591.7929959,15845,224.77153,6924683.6773535,0
2023-07-05 02:00:00,2023-07-05 02:00:00,30795.92,30866.0,30794.05,30837.99,799.08777,1688525999999,24641366.9718226,17399,340.62748,10504221.4901143,0
2023-07-05 03:00:00,2023-07-05 03:00:00,30838.0,30878.07,30823.83,30868.71,669.47781,1688529599999,20652814.2716979,15846,255.15431,7871155.0151436,0
2023-07-05 04:00:00,2023-07-05 04:00:00,30868.71,30869.41,30817.91,30834.86,601.58084,1688533199999,18552841.8340374,16347,224.81757,6933337.4243131,0
2023-07-05 05:00:00,2023-07-05 05:00:00,30834.87,30869.57,30794.18,30814.08,769.30642,1688536799999,23726244.908622,19041,385.40455,11887088.0210138,0
